浮,浮磬
浮,浮漚
浮,浮屠
浮,浮堰
浮,浮游
浮,浮萍草
浮,浮世絵
部,雇傭
部,保健福祉部
部,臀部
符,函數
副,副棺
副,副腎
副,副尉
副,副鉦
副,副摠管
副,副承旨
婦,悍婦
富,富賈
富,富贍
富,贍富
富,殷富
富,猝富
腐,腐蝕
覆,顚覆
分,分揀
分,分娩
奔,奔竄
紛,編輯
憤,鬱憤
佛,佛手柑
佛,佛陀
拂,拂拭
比,比喩
比,櫛比
批,批准
肥,肥沃
肥,堆肥
卑,卑怯
飛,飛沫
飛,飛翔
祕,秘技
祕,祕匿
祕,祕苑
費,費耗
悲,悲愴
鼻,鼻腔
鼻,鼻粱
鼻,鼻淵
鼻,鼻疽
鼻,酸鼻
鼻,盾鼻
鼻,亢鼻
鼻,狹鼻類
賓,合爾賓
頻,迦陵頻伽
氷,氷棚
氷,氷晶
氷,氷堆石
氷,氷壺
氷,碎氷船
聘,嘉聘
聘,雇聘
聘,覲聘
聘,聘殮
聘,玉鸞聘
聘,傭聘
士,碩士
士,紳士
士,奬學士
四,四聖諦
四,四十九齋
四,四肢
史,宋史
司,司諫
司,司誨
司,攸司
死,戒盈杯
寺,寺刹
似,似人猿類
似,擬似
似,呈似
似,酷似
似,恰似
邪,奸邪
邪,妖邪
邪,邪霊
沙,毘沙門天
沙,沙鉢
沙,沙嘴
沙,沙汰
私,私僕
私,私塾
私,私邸
事,嘉事
事,炊事
社,社稷
使,遣隋使
使,使嗾
舍,寮舍
査,査頓
射,射琴匣
射,射倖
師,賭博師
師,魔法師
師,剝製師
師,裝蹄師
蛇,蛇蝎
斜,斜睾類
斜,斜睾目
斜,斜睾科
斜,斜睾屬
斯,斯盧國
絲,螺絲
絲,靑椒肉絲
寫,謄寫
寫,描寫
寫,繕寫
賜,膳賜
辭,控辭
辭,卦辭
辭,詭辭
辭,氣沮辭塞
辭,揑辭
辭,瀆辭
辭,遁辭
辭,蔓辭
辭,蕪辭
辭,跋辭
辭,辭藻
辭,辭箚
辭,辭陛
辭,辭彙
辭,遜辭
辭,哀悼辭
辭,釀辭
辭,爰辭
辭,諛辭
辭,牋辭
辭,呈辭
辭,措辭
辭,藻辭
辭,呪辭
辭,峻辭
辭,嗟辭
辭,箚辭
辭,鑱辭
辭,籤辭
辭,楚辭
辭,追悼辭
辭,贅辭
辭,託辭
辭,嘆辭
辭,片言隻辭
辭,貶辭
辭,詖辭
辭,嘏辭
辭,緘辭
辭,兇辭
朔,晦朔
山,虍勹
散,撒布
散,撒水
殺,絞殺
殺,擒殺
殺,屠殺
殺,抹殺
殺,搏殺
殺,撲殺
殺,倂殺
殺,殺鼠
殺,誅殺
殺,虐殺
三,三巴戰
三,阿耨多羅三藐三菩提
森,藤森主義
上,路上放尿
上,路上放糞
上,泗上
上,上尉
上,呈上
上,俎上
尙,嘉尙
狀,橈狀
狀,帶狀疱疹
相,相剋
相,相馳
相,相撲
相,丞相
桑,乂乂乂木
桑,桑蠶
桑,桑弧
桑,緣桑螺
桑,蠶桑
商,褓負商
商,商廛
商,商鋪
祥,祥瑞
祥,妖祥
祥,禎祥
喪,驚心喪膽
喪,耗喪
喪,內艱喪
喪,悼喪
喪,喪笠
喪,喪魄
喪,喪扇
喪,喪帷
喪,喪杖
喪,趨入祭廳
喪,喪頉
喪,頑喪
喪,外艱喪
喪,沮喪
喪,椓喪
喪,以得裨喪
喪,虧喪
傷,怛傷
傷,傷怛
傷,傷痍
傷,傷痕
傷,凋傷
傷,爪傷
傷,挫傷
傷,打搏傷
嘗,奢者心嘗貧
嘗,嘗糞徒
裳,攓裳
裳,繡裳
裳,霓裳
裳,虞裳
裳,蟻裳
裳,紫霞裳
裳,紵裳
裳,赤綃裳
裳,纁繒裳
像,幻像
霜,砒霜
償,賠償
償,贖償
償,辦償
色,褐色
色,紺色
色,遜色
索,摸索
塞,梗塞
塞,腦梗
塞,心筋梗
塞,窒塞
塞,肺塞栓症
生,妓生
生,誤謬
生,生薑
生,生殖
西,西歐
序,序陞
書,図書
書,帛書
書,秘書
書,私書函
書,書齋
書,書帙
書,書翰
書,諭書
書,自己紹介書
書,詔書
書,診斷書
恕,矜恕
恕,恕宥
恕,宥恕
徐,徐放錠
敍,敍勳
敍,蔭敍
逝,薨逝
庶,庶孼
庶,嫡庶
暑,酷暑
席,会席
席,藁席
席,桄葉席
席,闕席
席,几席
席,韜席
席,藤席
席,陪席
席,席捲
席,席帽
席,席匠
席,繡席
席,按席
席,偃席
席,龍文簾席
席,貳席
席,茵席
席,鄰席
席,衽席
席,鼎席
席,鉉席
席,滑席
釋,釋迦牟尼
釋,註釋
仙,仙馭
仙,仙遺粮
先,先鋒
先,先塋
先,先后
船,間諜船
船,艍舠船
船,鯨船
