hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
八,여덟 팔,八,2획,8급,8__,팔
敗,패할 패,攴,11획,5급,5__,패
貝,조개 패,貝,7획,3급,3__,패
偏,치우칠 편,人,11획,준3급,3ii,편
遍,두루 편,辵,13획,3급,3__,편
編,엮을 편,糸,15획,준3급,3ii,편
篇,책 편,竹,15획,4급,4__,편
片,조각 편,片,4획,준3급,3ii,편
便,편할 편|똥오줌 변,人,9획,7급,7__,편
評,평할 평,言,12획,4급,4__,평
平,평평할 평,干,5획,준7급,7ii,평
閉,닫을 폐,門,11획,4급,4__,폐
幣,화폐 폐,巾,15획,3급,3__,폐
廢,폐할/버릴 폐,广,15획,준3급,3ii,폐
弊,폐단/해질 폐,廾,15획,준3급,3ii,폐
蔽,덮을 폐,艸,16획,3급,3__,폐
肺,허파 폐,肉,8획,준3급,3ii,폐
捕,잡을 포,手,10획,준3급,3ii,포
浦,개 포,水,10획,준3급,3ii,포
砲,대포 포,石,10획,준4급,4ii,포
飽,배부를 포,食,14획,3급,3__,포
包,쌀 포,勹,5획,준4급,4ii,포
布,베/펼 포|보시 보,巾,5획,준4급,4ii,포
抱,안을 포,手,8획,3급,3__,포
胞,세포 포,肉,9획,4급,4__,포
幅,폭 폭,巾,12획,3급,3__,폭
暴,사나울 폭|모질 포,日,15획,준4급,4ii,폭
爆,불터질 폭,火,19획,4급,4__,폭
票,표 표,示,11획,준4급,4ii,표
漂,떠다닐 표,水,14획,3급,3__,표
標,표할 표,木,15획,4급,4__,표
表,겉 표,衣,8획,준6급,6ii,표
品,물건 품,口,9획,준5급,5ii,품
楓,단풍 풍,木,13획,준3급,3ii,풍
豊,풍년 풍,豆,13획,준4급,4ii,풍
風,바람 풍,風,9획,준6급,6ii,풍
被,입을 피,衣,10획,준3급,3ii,피
疲,피곤할 피,疒,10획,4급,4__,피
避,피할 피,辵,17획,4급,4__,피
皮,가죽 피,皮,5획,준3급,3ii,피
彼,저 피,彳,8획,준3급,3ii,피
畢,마칠 필,田,11획,준3급,3ii,필
筆,붓 필,竹,12획,준5급,5ii,필
匹,짝 필,匸,4획,3급,3__,필
必,반드시 필,心,5획,준5급,5ii,필
夏,여름 하,夊,10획,7급,7__,하
荷,멜 하,艸,11획,준3급,3ii,하
賀,하례할 하,貝,12획,준3급,3ii,하
下,아래 하,一,3획,준7급,7ii,하
何,어찌 하,人,7획,준3급,3ii,하
河,물 하,水,8획,5급,5__,하
學,배울 학,子,16획,8급,8__,학
鶴,학 학,鳥,21획,준3급,3ii,학
寒,찰 한,宀,12획,5급,5__,한
閑,한가할 한,門,12획,4급,4__,한
漢,한수/한나라 한,水,14획,준7급,7ii,한
韓,나라이름 한,韋,17획,8급,8__,한
汗,땀 한,水,6획,준3급,3ii,한
旱,가물 한,日,7획,3급,3__,한
恨,한 한,心,9획,4급,4__,한
限,한할 한,阜,9획,준4급,4ii,한
割,벨 할,刀,12획,준3급,3ii,할
陷,빠질 함,阜,11획,준3급,3ii,함
含,머금을 함,口,7획,준3급,3ii,함
咸,다 함,口,9획,3급,3__,함
合,합할 합,口,6획,6급,6__,합
航,배 항,舟,10획,준4급,4ii,항
項,항목 항,頁,12획,준3급,3ii,항
港,항구 항,水,12획,준4급,4ii,항
抗,겨룰 항,手,7획,4급,4__,항
巷,거리 항,己,9획,3급,3__,항
恒,항상 항,心,9획,준3급,3ii,항
海,바다 해,水,10획,준7급,7ii,해
害,해할 해,宀,10획,준5급,5ii,해
奚,어찌 해,大,10획,3급,3__,해
該,갖출/마땅 해,言,13획,3급,3__,해
解,풀 해,角,13획,준4급,4ii,해
亥,돼지 해,亠,6획,3급,3__,해
核,씨 핵,木,10획,4급,4__,핵
行,다닐 행|항렬 항,行,6획,6급,6__,행
幸,다행 행,干,8획,준6급,6ii,행
鄕,시골 향,邑,13획,준4급,4ii,향
響,울릴 향,音,22획,준3급,3ii,향
向,향할 향,口,6획,6급,6__,향
享,누릴 향,亠,8획,3급,3__,향
香,향기 향,香,9획,준4급,4ii,향
許,허락할 허,言,11획,5급,5__,허
虛,빌 허,虍,12획,준4급,4ii,허
軒,집 헌,車,10획,3급,3__,헌
憲,법 헌,心,16획,4급,4__,헌
獻,드릴 헌,犬,20획,준3급,3ii,헌
險,험할 험,阜,16획,4급,4__,험
驗,시험 험,馬,23획,준4급,4ii,험
革,가죽 혁,革,9획,4급,4__,혁
現,나타날 현,玉,11획,준6급,6ii,현
絃,줄 현,糸,11획,3급,3__,현
賢,어질 현,貝,15획,준4급,4ii,현
縣,고을 현,糸,16획,3급,3__,현
懸,달 현,心,20획,준3급,3ii,현
顯,나타날 현,頁,23획,4급,4__,현
玄,검을 현,玄,5획,준3급,3ii,현
穴,굴 혈,穴,5획,준3급,3ii,혈
血,피 혈,血,6획,준4급,4ii,혈
嫌,싫어할 혐,女,13획,3급,3__,혐
脅,위협할 협,肉,10획,준3급,3ii,협
協,화할 협,十,8획,준4급,4ii,협
螢,반딧불 형,虫,16획,3급,3__,형
衡,저울대 형,行,16획,준3급,3ii,형
兄,형 형,儿,5획,8급,8__,형
刑,형벌 형,刀,6획,4급,4__,형
形,모양 형,彡,7획,준6급,6ii,형
亨,형통할 형,亠,7획,3급,3__,형
惠,은혜 혜,心,12획,준4급,4ii,혜
慧,슬기로울 혜,心,15획,준3급,3ii,혜
兮,어조사 혜,八,4획,3급,3__,혜
浩,넓을 호,水,10획,준3급,3ii,호
毫,가는털 호,毛,11획,3급,3__,호
湖,호수 호,水,12획,5급,5__,호
號,이름 호,虍,13획,6급,6__,호
豪,호걸 호,豕,14획,준3급,3ii,호
護,도울 호,言,21획,준4급,4ii,호
互,서로 호,二,4획,3급,3__,호
戶,집 호,戶,4획,준4급,4ii,호
乎,어조사 호,丿,5획,3급,3__,호
好,좋을 호,女,6획,준4급,4ii,호
虎,범 호,虍,8획,준3급,3ii,호
呼,부를 호,口,8획,준4급,4ii,호
胡,되 호,肉,9획,준3급,3ii,호
惑,미혹할 혹,心,12획,준3급,3ii,혹
或,혹 혹,戈,8획,4급,4__,혹
婚,혼인할 혼,女,11획,4급,4__,혼
混,섞을 혼,水,11획,4급,4__,혼
魂,넋 혼,鬼,14획,준3급,3ii,혼
昏,어두울 혼,日,8획,3급,3__,혼
忽,갑자기 홀,心,8획,준3급,3ii,홀
鴻,기러기 홍,鳥,17획,3급,3__,홍
弘,클 홍,弓,5획,3급,3__,홍
洪,넓을 홍,水,9획,준3급,3ii,홍
紅,붉을 홍,糸,9획,4급,4__,홍
華,빛날 화,艸,11획,4급,4__,화
貨,재물 화,貝,11획,준4급,4ii,화
畫,그림 화|그을 획,田,12획,6급,6__,화
話,말씀 화,言,13획,준7급,7ii,화
禍,재앙 화,示,14획,준3급,3ii,화
火,불 화,火,4획,8급,8__,화
化,될 화,匕,4획,준5급,5ii,화
禾,벼 화,禾,5획,3급,3__,화
花,꽃 화,艸,8획,7급,7__,화
和,화할 화,口,8획,준6급,6ii,화
確,굳을 확,石,15획,준4급,4ii,확
擴,넓힐 확,手,18획,3급,3__,확
穫,거둘 확,禾,19획,3급,3__,확
患,근심 환,心,11획,5급,5__,환
換,바꿀 환,手,12획,준3급,3ii,환
還,돌아올 환,辵,17획,준3급,3ii,환
環,고리 환,玉,17획,4급,4__,환
歡,기쁠 환,欠,22획,4급,4__,환
丸,둥글 환,丶,3획,3급,3__,환
活,살 활,水,9획,준7급,7ii,활
荒,거칠 황,艸,10획,준3급,3ii,황
黃,누를 황,黃,12획,6급,6__,황
況,상황 황,水,8획,4급,4__,황
皇,임금 황,白,9획,준3급,3ii,황
悔,뉘우칠 회,心,10획,준3급,3ii,회
會,모일 회,曰,13획,준6급,6ii,회
懷,품을 회,心,19획,준3급,3ii,회
灰,재 회,火,6획,4급,4__,회
回,돌아올 회,囗,6획,준4급,4ii,회
劃,그을 획,刀,14획,준3급,3ii,획
獲,얻을 획,犬,17획,준3급,3ii,획
橫,가로 횡,木,16획,준3급,3ii,횡
效,본받을 효,攴,10획,준5급,5ii,효
曉,새벽 효,日,16획,3급,3__,효
孝,효도 효,子,7획,준7급,7ii,효
候,기후 후,人,10획,4급,4__,후
後,뒤 후,彳,9획,준7급,7ii,후
侯,제후 후,人,9획,3급,3__,후
厚,두터울 후,厂,9획,4급,4__,후
訓,가르칠 훈,言,10획,6급,6__,훈
毁,헐 훼,殳,13획,3급,3__,훼
揮,휘두를 휘,手,12획,4급,4__,휘
輝,빛날 휘,車,15획,3급,3__,휘
携,이끌 휴,手,13획,3급,3__,휴
休,쉴 휴,人,6획,7급,7__,휴
胸,가슴 흉,肉,10획,준3급,3ii,흉
凶,흉할 흉,凵,4획,준5급,5ii,흉
黑,검을 흑,黑,12획,5급,5__,흑
吸,마실 흡,口,7획,준4급,4ii,흡
興,일 흥,臼,16획,준4급,4ii,흥
稀,드물 희,禾,12획,준3급,3ii,희
喜,기쁠 희,口,12획,4급,4__,희
戲,놀이 희,戈,17획,준3급,3ii,희
希,바랄 희,巾,7획,준4급,4ii,희
