hanja,kor,radical,total_num_of_strokes,level,level_sort,rep_pron
手,손 수,手,4획,준7급,7ii,수
囚,가둘 수,囗,5획,3급,3__,수
守,지킬 수,宀,6획,준4급,4ii,수
收,거둘 수,攴,6획,준4급,4ii,수
秀,빼어날 수,禾,7획,4급,4__,수
垂,드리울 수,土,8획,준3급,3ii,수
受,받을 수,又,8획,준4급,4ii,수
首,머리 수,首,9획,준5급,5ii,수
帥,장수 수,巾,9획,준3급,3ii,수
宿,잘 숙|별자리 수,宀,11획,준5급,5ii,숙
孰,누구 숙,子,11획,3급,3__,숙
淑,맑을 숙,水,11획,준3급,3ii,숙
肅,엄숙할 숙,聿,13획,4급,4__,숙
熟,익을 숙,火,15획,준3급,3ii,숙
叔,아재비 숙,又,8획,4급,4__,숙
殉,따라죽을 순,歹,10획,3급,3__,순
純,순수할 순,糸,10획,준4급,4ii,순
脣,입술 순,肉,11획,3급,3__,순
順,순할 순,頁,12획,준5급,5ii,순
循,돌 순,彳,12획,3급,3__,순
瞬,눈깜짝일 순,目,17획,준3급,3ii,순
旬,열흘 순,日,6획,준3급,3ii,순
巡,돌/순행할 순,巛,7획,준3급,3ii,순
術,재주 술,行,11획,준6급,6ii,술
戌,개 술,戈,6획,3급,3__,술
述,펼 술,辵,9획,준3급,3ii,술
崇,높을 숭,山,11획,4급,4__,숭
習,익힐 습,羽,11획,6급,6__,습
濕,젖을 습,水,17획,준3급,3ii,습
襲,엄습할 습,衣,22획,준3급,3ii,습
拾,주울 습|열 십,手,9획,준3급,3ii,습
乘,탈 승,丿,10획,준3급,3ii,승
勝,이길 승,力,12획,6급,6__,승
僧,중 승,人,14획,준3급,3ii,승
昇,오를 승,日,8획,준3급,3ii,승
承,이을 승,手,8획,준4급,4ii,승
時,때 시,日,10획,준7급,7ii,시
視,볼 시,見,12획,준4급,4ii,시
詩,시 시,言,13획,준4급,4ii,시
試,시험 시,言,13획,준4급,4ii,시
市,저자 시,巾,5획,준7급,7ii,시
示,보일 시,示,5획,5급,5__,시
矢,화살 시,矢,5획,3급,3__,시
始,비로소 시,女,8획,준6급,6ii,시
侍,모실 시,人,8획,준3급,3ii,시
施,베풀 시,方,9획,준4급,4ii,시
是,이/옳을 시,日,9획,준4급,4ii,시
息,쉴 식,心,10획,준4급,4ii,식
植,심을 식,木,12획,7급,7__,식
飾,꾸밀 식,食,14획,준3급,3ii,식
識,알 식,言,19획,준5급,5ii,식
式,법 식,弋,6획,6급,6__,식
食,밥/먹을 식,食,9획,준7급,7ii,식
神,귀신 신,示,10획,준6급,6ii,신
晨,새벽 신,日,11획,3급,3__,신
新,새로울 신,斤,13획,준6급,6ii,신
愼,삼갈 신,心,13획,준3급,3ii,신
申,납 신,田,5획,준4급,4ii,신
臣,신하 신,臣,6획,준5급,5ii,신
身,몸 신,身,7획,준6급,6ii,신
辛,매울 신,辛,7획,3급,3__,신
伸,펼 신,人,7획,3급,3__,신
信,믿을 신,人,9획,준6급,6ii,신
實,열매 실,宀,14획,준5급,5ii,실
失,잃을 실,大,5획,6급,6__,실
室,집 실,宀,9획,8급,8__,실
深,깊을 심,水,11획,준4급,4ii,심
尋,찾을 심,寸,12획,3급,3__,심
審,살필 심,宀,15획,준3급,3ii,심
心,마음 심,心,4획,7급,7__,심
甚,심할 심,甘,9획,준3급,3ii,심
十,열 십,十,2획,8급,8__,십
雙,두/쌍 쌍,隹,18획,준3급,3ii,쌍
氏,각시/성씨 씨,氏,4획,4급,4__,씨
雅,맑을 아,隹,12획,준3급,3ii,아
餓,주릴 아,食,16획,3급,3__,아
牙,어금니 아,牙,4획,준3급,3ii,아
我,나 아,戈,7획,준3급,3ii,아
兒,아이 아,儿,8획,준5급,5ii,아
阿,언덕 아,阜,8획,준3급,3ii,아
亞,버금 아,二,8획,준3급,3ii,아
芽,싹 아,艸,8획,준3급,3ii,아
惡,악할 악|미워할 오,心,12획,준5급,5ii,악
岳,큰산 악,山,8획,3급,3__,악
案,책상 안,木,10획,5급,5__,안
眼,눈 안,目,11획,준4급,4ii,안
雁,기러기 안,隹,12획,3급,3__,안
顔,낯 안,頁,18획,준3급,3ii,안
安,편안 안,宀,6획,준7급,7ii,안
岸,언덕 안,山,8획,준3급,3ii,안
謁,뵐 알,言,16획,3급,3__,알
暗,어두울 암,日,13획,준4급,4ii,암
巖,바위 암,山,23획,준3급,3ii,암
壓,누를 압,土,17획,준4급,4ii,압
押,누를 압,手,8획,3급,3__,압
央,가운데 앙,大,5획,준3급,3ii,앙
仰,우러를 앙,人,6획,준3급,3ii,앙
殃,재앙 앙,歹,9획,3급,3__,앙
涯,물가 애,水,11획,3급,3__,애
愛,사랑 애,心,13획,6급,6__,애
哀,슬플 애,口,9획,준3급,3ii,애
液,진 액,水,11획,준4급,4ii,액
額,이마 액,頁,18획,4급,4__,액
厄,액 액,厂,4획,3급,3__,액
野,들 야,里,11획,6급,6__,야
也,이끼/어조사 야,乙,3획,3급,3__,야
夜,밤 야,夕,8획,6급,6__,야
耶,어조사 야,耳,9획,3급,3__,야
弱,약할 약,弓,10획,준6급,6ii,약
藥,약 약,艸,19획,준6급,6ii,약
躍,뛸 약,足,21획,3급,3__,약
約,맺을 약,糸,9획,준5급,5ii,약
若,같을 약|반야 야,艸,9획,준3급,3ii,약
陽,볕 양,阜,12획,6급,6__,양
揚,날릴 양,手,12획,준3급,3ii,양
楊,버들 양,木,13획,3급,3__,양
養,기를 양,食,15획,준5급,5ii,양
樣,모양 양,木,15획,4급,4__,양
壤,흙덩이 양,土,20획,준3급,3ii,양
讓,사양할 양,言,24획,준3급,3ii,양
羊,양 양,羊,6획,준4급,4ii,양
洋,큰바다 양,水,9획,6급,6__,양
魚,고기/물고기 어,魚,11획,5급,5__,어
