hanja,kor,link
級,등급 급,https://namu.wiki/w/%E7%B4%9A
多,많을 다,https://namu.wiki/w/%E5%A4%9A
待,기다릴 대:,https://namu.wiki/w/%E5%BE%85
度,법도 도(:) | 헤아릴 탁[24],https://namu.wiki/w/%E5%BA%A6
頭,머리 두,https://namu.wiki/w/%E9%A0%AD
例,법식 례:,https://namu.wiki/w/%E4%BE%8B
禮,예도 례:,https://namu.wiki/w/%E7%A6%AE
路,길 로:,https://namu.wiki/w/%E8%B7%AF
綠,푸를 록,https://namu.wiki/w/%E7%B6%A0
李,오얏/성 리:,https://namu.wiki/w/%E6%9D%8E
目,눈 목,https://namu.wiki/w/%E7%9B%AE
美,아름다울 미(:)[25],https://namu.wiki/w/%E7%BE%8E
米,쌀 미,https://namu.wiki/w/%E7%B1%B3
朴,성 박,https://namu.wiki/w/%E6%9C%B4
番,차례 번,https://namu.wiki/w/%E7%95%AA
別,다를/나눌 별,https://namu.wiki/w/%E5%88%A5
病,병 병:,https://namu.wiki/w/%E7%97%85
服,옷 복,https://namu.wiki/w/%E6%9C%8D
本,근본 본,https://namu.wiki/w/%E6%9C%AC
使,하여금/부릴 사:,https://namu.wiki/w/%E4%BD%BF
死,죽을 사:,https://namu.wiki/w/%E6%AD%BB
席,자리 석,https://namu.wiki/w/%E5%B8%AD
石,돌 석,https://namu.wiki/w/%E7%9F%B3
速,빠를 속,https://namu.wiki/w/%E9%80%9F
孫,손자 손(:)[26],https://namu.wiki/w/%E5%AD%AB
樹,나무 수,https://namu.wiki/w/%E6%A8%B9
習,익힐 습,https://namu.wiki/w/%E7%BF%92
勝,이길 승,https://namu.wiki/w/%E5%8B%9D
式,법 식,https://namu.wiki/w/%E5%BC%8F
失,잃을 실,https://namu.wiki/w/%E5%A4%B1
愛,사랑 애(:)[27],https://namu.wiki/w/%E6%84%9B
夜,밤 야:,https://namu.wiki/w/%E5%A4%9C
野,들 야:,https://namu.wiki/w/%E9%87%8E
陽,볕 양,https://namu.wiki/w/%E9%99%BD
洋,큰바다 양,https://namu.wiki/w/%E6%B4%8B
言,말씀 언,https://namu.wiki/w/%E8%A8%80
英,꽃부리 영,https://namu.wiki/w/%E8%8B%B1
永,길 영:,https://namu.wiki/w/%E6%B0%B8
溫,따뜻할 온,https://namu.wiki/w/%E6%BA%AB
園,동산 원,https://namu.wiki/w/%E5%9C%92
遠,멀 원:,https://namu.wiki/w/%E9%81%A0
由,말미암을 유,https://namu.wiki/w/%E7%94%B1
油,기름 유,https://namu.wiki/w/%E6%B2%B9
銀,은 은,https://namu.wiki/w/%E9%8A%80
醫,의원 의,https://namu.wiki/w/%E9%86%AB
