hanja,kor,radical,total_num_of_strokes,level
赤,붉을 적,赤,7획,5급
停,머무를 정,人,11획,5급
操,잡을 조,手,16획,5급
終,마칠 종,糸,11획,5급
罪,허물 죄,网,13획,5급
止,그칠 지,止,4획,5급
唱,부를 창,口,11획,5급
鐵,쇠 철,金,21획,5급
初,처음 초,刀,7획,5급
最,가장 최,曰,12획,5급
祝,빌 축,示,10획,5급
致,이를 치,至,10획,5급
則,법칙 칙,刀,9획,5급
他,다를 타,人,5획,5급
打,칠 타,手,5획,5급
卓,높을 탁,十,8획,5급
炭,숯 탄,火,9획,5급
板,널 판,木,8획,5급
敗,패할 패,攴,11획,5급
河,물 하,水,8획,5급
寒,찰 한,宀,12획,5급
許,허락할 허,言,11획,5급
湖,호수 호,水,12획,5급
患,근심 환,心,11획,5급
黑,검을 흑,黑,12획,5급
却,물리칠 각,卩,7획,3급
姦,간음할 간,女,9획,3급
渴,목마를 갈,水,12획,3급
皆,다 개,白,9획,3급
慨,슬퍼할 개,心,14획,3급
乞,빌 걸,乙,3획,3급
遣,보낼 견,辵,14획,3급
肩,어깨 견,肉,8획,3급
絹,비단 견,糸,13획,3급
牽,이끌/끌 견,牛,11획,3급
卿,벼슬 경,卩,12획,3급
庚,별 경,广,8획,3급
竟,마침내 경,立,11획,3급
繫,맬 계,糸,19획,3급
癸,북방/천간 계,癶,9획,3급
顧,돌아볼 고,頁,21획,3급
枯,마를 고,木,9획,3급
坤,땅 곤,土,8획,3급
郭,둘레/외성 곽,邑,11획,3급
掛,걸 괘,手,11획,3급
塊,흙덩이 괴,土,13획,3급
愧,부끄러울 괴,心,13획,3급
郊,들 교,邑,9획,3급
矯,바로잡을 교,矢,17획,3급
俱,함께 구,人,10획,3급
龜,"거북 구/귀, 터질 균",龜,16획,3급
驅,몰 구,馬,21획,3급
苟,진실로/구차할 구,艸,9획,3급
懼,두려워할 구,心,21획,3급
狗,개 구,犬,8획,3급
厥,그 궐,厂,12획,3급
軌,바퀴자국 궤,車,9획,3급
糾,얽힐 규,糸,8획,3급
叫,부르짖을 규,口,5획,3급
僅,겨우 근,人,13획,3급
謹,삼갈 근,言,18획,3급
斤,근/날 근,斤,4획,3급
肯,즐길 긍,肉,8획,3급
旣,이미 기,无,11획,3급
忌,꺼릴 기,心,7획,3급
棄,버릴 기,木,12획,3급
欺,속일 기,欠,12획,3급
飢,주릴 기,食,11획,3급
豈,어찌 기,豆,10획,3급
幾,몇 기,幺,12획,3급
那,어찌 나,邑,7획,3급
奈,"어찌 내, 어찌 나",大,8획,3급
乃,이에 내,丿,2획,3급
惱,번뇌할 뇌,心,12획,3급
畓,논 답,田,9획,3급
跳,뛸 도,足,13획,3급
挑,돋울 도,手,9획,3급
塗,칠할 도,土,13획,3급
稻,벼 도,禾,15획,3급
篤,도타울 독,竹,16획,3급
敦,도타울 돈,攴,12획,3급
豚,돼지 돈,豕,11획,3급
屯,진칠 둔,屮,4획,3급
鈍,둔할 둔,金,12획,3급
騰,오를 등,馬,20획,3급
濫,넘칠 람,水,17획,3급
掠,노략질할 략,手,11획,3급
諒,살펴알/믿을 량,言,15획,3급
憐,불쌍히여길 련,心,15획,3급
劣,못할 렬,力,6획,3급
廉,청렴할 렴,广,13획,3급
獵,사냥 렵,犬,18획,3급
零,떨어질/영 령,雨,13획,3급
隷,종 례,隶,16획,3급
鹿,사슴 록,鹿,11획,3급
僚,동료 료,人,14획,3급
了,마칠 료,亅,2획,3급
淚,눈물 루,水,11획,3급
屢,여러 루,尸,14획,3급
梨,배 리,木,11획,3급
隣,이웃 린,阜,15획,3급
慢,거만할 만,心,14획,3급
漫,흩어질 만,水,14획,3급
忘,잊을 망,心,7획,3급
茫,아득할 망,艸,10획,3급
忙,바쁠 망,心,6획,3급
罔,없을 망,网,8획,3급
埋,묻을 매,土,10획,3급
冥,어두울 명,冖,10획,3급
某,아무 모,木,9획,3급
暮,저물 모,日,15획,3급
募,모을/뽑을 모,力,13획,3급
冒,무릅쓸 모,冂,9획,3급
侮,업신여길 모,人,9획,3급
卯,토끼 묘,卩,5획,3급
廟,사당 묘,广,15획,3급
苗,모 묘,艸,9획,3급
戊,천간 무,戈,5획,3급
霧,안개 무,雨,19획,3급
迷,미혹할 미,辵,10획,3급
眉,눈썹 미,目,9획,3급
敏,민첩할 민,攴,11획,3급
憫,민망할 민,心,15획,3급
蜜,꿀 밀,虫,14획,3급
泊,머무를/배댈 박,水,8획,3급
伴,짝 반,人,7획,3급
叛,배반할 반,又,9획,3급
返,돌이킬 반,辵,8획,3급
倣,본뜰 방,人,10획,3급
傍,곁 방,人,12획,3급
邦,나라 방,邑,7획,3급
杯,잔 배,木,8획,3급
飜,번역할 번,飛,21획,3급
煩,번거로울 번,火,13획,3급
辨,분별할 변,辛,16획,3급
竝,나란히 병,立,10획,3급
屛,병풍 병,尸,11획,3급
卜,점 복,卜,2획,3급
蜂,벌 봉,虫,13획,3급
赴,다다를/갈 부,走,9획,3급
墳,무덤 분,土,15획,3급
崩,무너질 붕,山,11획,3급
朋,벗 붕,月,8획,3급
賓,손 빈,貝,14획,3급
頻,자주 빈,頁,16획,3급
聘,부를 빙,耳,13획,3급
巳,뱀 사,己,3획,3급
捨,버릴 사,手,11획,3급
斯,이 사,斤,12획,3급
詐,속일 사,言,12획,3급
賜,줄 사,貝,15획,3급
似,닮을 사,人,7획,3급
朔,초하루 삭,月,10획,3급
祥,상서 상,示,11획,3급
嘗,맛볼 상,口,14획,3급
暑,더울 서,日,13획,3급
敍,펼 서,攴,11획,3급
逝,갈 서,辵,11획,3급
庶,여러 서,广,11획,3급
誓,맹세할 서,言,14획,3급
昔,예 석,日,8획,3급
析,쪼갤 석,木,8획,3급
攝,다스릴/잡을 섭,手,21획,3급
涉,건널 섭,水,10획,3급
召,부를 소,口,5획,3급
昭,밝을 소,日,9획,3급
蔬,나물 소,艸,16획,3급
騷,떠들 소,馬,20획,3급
粟,조 속,米,12획,3급
誦,욀 송,言,14획,3급
睡,졸음 수,目,13획,3급
須,모름지기 수,頁,12획,3급
雖,비록 수,隹,17획,3급
誰,누구 수,言,15획,3급
搜,찾을 수,手,12획,3급
囚,가둘 수,囗,5획,3급
遂,드디어 수,辵,13획,3급
孰,누구 숙,子,11획,3급
循,돌 순,彳,12획,3급
