hanja,kor,radical,radical_name,stroke_count,level,rep_pron,mistake
禪,선 선,示,보일 시,17,준3급,선,4
索,찾을 색|노 삭,糸,실 사|가는실 멱,10,준3급,색,3
哉,어조사 재,口,입 구,9,3급,재,3
配,나눌/짝 배,酉,닭 유,10,준4급,배,5
涯,물가 애,水,물 수,11,3급,애,1
裝,꾸밀 장,衣,옷 의,13,4급,장,2
煙,연기 연,火,불 화,13,준4급,연,3
純,순수할 순,糸,실 사|가는실 멱,10,준4급,순,5
循,돌 순,彳,조금걸을 척,12,3급,순,4
蹟,자취 적,足,발 족 / 족할 족,18,준3급,적,2
說,말씀 설|달랠 세,言,말씀 언,14,준5급,설,6
殺,죽일 살|감할/빠를 쇄,殳,창 수,11,준4급,살,2
岳,큰산 악,山,메 산,8,3급,악,2
軟,연할 연,車,수레 거/차,11,준3급,연,5
莊,씩씩할 장,艸,풀 초,11,준3급,장,2
幸,다행 행,干,방패 간,8,준6급,행,2
練,익힐 련,糸,실 사|가는실 멱,15,준5급,련,3
賦,부세 부,貝,조개 패,15,준3급,부,6
傷,다칠 상,人,사람 인,13,4급,상,2
軒,집 헌,車,수레 거/차,10,3급,헌,2
抵,막을 저,手,손 수,8,준3급,저,1
週,주일 주,辵,쉬엄쉬엄갈 착,12,준5급,주,2
徵,부를 징,彳,조금걸을 척,15,준3급,징,2
幾,몇 기,幺,작을 요,12,3급,기,2
傑,뛰어날 걸,人,사람 인,12,4급,걸,3
契,맺을 계,大,큰 대,9,준3급,계,5
俱,함께 구,人,사람 인,10,3급,구,2
摘,딸 적,手,손 수,14,준3급,적,2
賜,줄 사,貝,조개 패,15,3급,사,3
輸,보낼 수,車,수레 거/차,16,준3급,수,5
雅,맑을 아,隹,새 추,12,준3급,아,2
邪,간사할 사,邑,고을 읍,7,준3급,사,5
訴,호소할 소,言,말씀 언,12,준3급,소,5
廷,조정 정,廴,길게걸을 인,7,준3급,정,2
世,인간 세,一,한 일,5,준7급,세,2
額,이마 액,頁,머리 혈,18,4급,액,4
批,비평할 비,手,손 수,7,4급,비,2
訟,송사할 송,言,말씀 언,11,준3급,송,4
亂,어지러울 란,乙,둘째 천간 을,13,4급,란,3
餓,주릴 아,食,밥/먹을 식,16,3급,아,3
液,진 액,水,물 수,11,준4급,액,2
揚,날릴 양,手,손 수,12,준3급,양,5
絹,비단 견,糸,실 사|가는실 멱,13,3급,견,2
